predict label: 7.143646715440429; real label: 17.0; 1:248.0 2:47.0 3:0.0 4:116.0 
predict label: 7.143646715440429; real label: 9.0; 1:263.0 2:47.0 3:0.0 4:99.0 
predict label: 7.143646715440429; real label: 14.0; 1:252.0 2:54.0 3:10.0 4:79.0 
predict label: 7.143646715440429; real label: 28.0; 1:254.0 2:42.0 3:0.0 4:118.0 
predict label: 7.143646715440429; real label: 10.0; 1:257.0 2:44.0 3:0.0 4:119.0 
predict label: 7.143646715440429; real label: 21.0; 1:243.0 2:45.0 3:0.0 4:112.0 
predict label: 7.143646705581154; real label: 2.0; 1:124.0 2:74.0 3:0.0 4:39.0 
predict label: 7.1436466088731745; real label: 2.0; 1:103.0 2:74.0 3:0.0 4:99.0 
predict label: 7.143646715440429; real label: 2.0; 1:128.0 2:63.0 3:32700.0 4:16.0 
predict label: 7.143646705344669; real label: 2.0; 1:120.0 2:78.0 3:0.0 4:74.0 
predict label: 7.143646661057222; real label: 0.0; 1:109.0 2:76.0 3:0.0 4:93.0 
predict label: 7.143646697589862; real label: 4.0; 1:117.0 2:78.0 3:0.0 4:72.0 
predict label: 7.1436467071470275; real label: 1.0; 1:121.0 2:78.0 3:0.0 4:82.0 
predict label: 7.143646586064817; real label: 3.0; 1:107.0 2:79.0 3:0.0 4:72.0 
predict label: 7.143646665057934; real label: 7.0; 1:110.0 2:76.0 3:0.0 4:88.0 
predict label: 7.14364670214316; real label: 2.0; 1:115.0 2:74.0 3:0.0 4:95.0 
predict label: 7.143646692916598; real label: 2.0; 1:116.0 2:78.0 3:0.0 4:78.0 
predict label: 7.143646712839082; real label: 5.0; 1:117.0 2:68.0 3:0.0 4:98.0 
predict label: 7.143646707186934; real label: 1.0; 1:117.0 2:74.0 3:0.0 4:99.0 
predict label: 7.143646710860818; real label: 1.0; 1:121.0 2:74.0 3:0.0 4:76.0 
predict label: 7.143646714088072; real label: 3.0; 1:120.0 2:68.0 3:0.0 4:96.0 
predict label: 7.143646707663733; real label: 5.0; 1:120.0 2:76.0 3:0.0 4:85.0 
predict label: 7.143646708295409; real label: 2.0; 1:121.0 2:78.0 3:0.0 4:64.0 
predict label: 7.143646708005886; real label: 4.0; 1:121.0 2:77.0 3:0.0 4:81.0 
predict label: 7.143646714444734; real label: 3.0; 1:127.0 2:73.0 3:0.0 4:97.0 
predict label: 7.143646380209594; real label: 4.0; 1:101.0 2:79.0 3:0.0 4:88.0 
predict label: 7.143646684972871; real label: 2.0; 1:115.0 2:79.0 3:0.0 4:77.0 
predict label: 7.1436469027840115; real label: 2.0; 1:106.0 2:95.0 3:168.0 4:0.0 
predict label: 7.143646502919158; real label: 1.0; 1:102.0 2:77.0 3:1.0 4:57.0 
predict label: 7.14364670911195; real label: 2.0; 1:129.0 2:81.0 3:12.0 4:79.0 
predict label: 7.143646918234283; real label: 3.0; 1:118.0 2:95.0 3:149.0 4:0.0 
predict label: 7.143646715440429; real label: 1.0; 1:128.0 2:78.0 3:32700.0 4:62.0 
predict label: 7.143646715274778; real label: 2.0; 1:140.0 2:78.0 3:7.0 4:63.0 
predict label: 7.143646715440429; real label: 6.0; 1:131.0 2:73.0 3:32700.0 4:72.0 
predict label: 7.143646710787438; real label: 1.0; 1:123.0 2:77.0 3:0.0 4:87.0 
predict label: 7.14364671530929; real label: 4.0; 1:135.0 2:71.0 3:0.0 4:92.0 
predict label: 7.143646513751929; real label: 3.0; 1:98.0 2:72.0 3:0.0 4:94.0 
predict label: 7.143646665009093; real label: 7.0; 1:102.0 2:69.0 3:0.0 4:93.0 
predict label: 7.143641747109416; real label: 0.0; 1:102.0 2:81.0 3:0.0 4:0.0 
predict label: 7.1436467159105295; real label: 5.0; 1:120.0 2:65.0 3:0.0 4:93.0 
predict label: 7.143547535455195; real label: 0.0; 1:85.0 2:89.0 3:0.0 4:0.0 
predict label: 7.143646465515735; real label: 3.0; 1:102.0 2:78.0 3:0.0 4:54.0 
predict label: 7.143646715440429; real label: 4.0; 1:58.0 2:84.0 3:32700.0 4:0.0 
predict label: 7.143345826303782; real label: 5.0; 1:76.0 2:87.0 3:0.0 4:0.0 
predict label: 7.143646153780689; real label: 4.0; 1:96.0 2:76.0 3:0.0 4:87.0 
predict label: 7.143646673236564; real label: 5.0; 1:108.0 2:73.0 3:0.0 4:95.0 
predict label: 7.143646544194079; real label: 5.0; 1:99.0 2:72.0 3:0.0 4:94.0 
predict label: 7.143646475138804; real label: 5.0; 1:97.0 2:72.0 3:0.0 4:93.0 
predict label: 7.143645905184867; real label: 2.0; 1:98.0 2:82.0 3:0.0 4:79.0 
predict label: 7.143646309872102; real label: 2.0; 1:100.0 2:79.0 3:0.0 4:53.0 
predict label: 7.143646715440429; real label: 6.0; 1:91.0 2:86.0 3:32700.0 4:15.0 
predict label: 7.143645112190749; real label: 3.0; 1:94.0 2:83.0 3:0.0 4:67.0 
predict label: 7.14360975772606; real label: 3.0; 1:84.0 2:83.0 3:0.0 4:26.0 
predict label: 7.143646331779772; real label: 6.0; 1:99.0 2:78.0 3:0.0 4:61.0 
predict label: 7.143646715440429; real label: 5.0; 1:76.0 2:89.0 3:32700.0 4:62.0 
