2011,11,1,135,71,0,92
2011,11,2,131,73,32700,72
2011,11,3,123,77,0,87
2011,11,4,128,78,32700,62
2011,11,5,140,78,7,63
2011,11,6,129,81,12,79
2011,11,7,118,95,149,0
2011,11,8,106,95,168,0
2011,11,9,102,77,1,57
2011,11,10,101,79,0,88
2011,11,11,115,79,0,77
2011,11,12,121,77,0,81
2011,11,13,127,73,0,97
2011,11,14,120,76,0,85
2011,11,15,121,78,0,64
2011,11,16,121,74,0,76
2011,11,17,120,68,0,96
2011,11,18,117,68,0,98
2011,11,19,117,74,0,99
2011,11,20,115,74,0,95
2011,11,21,116,78,0,78
2011,11,22,107,79,0,72
2011,11,23,110,76,0,88
2011,11,24,117,78,0,72
2011,11,25,121,78,0,82
2011,11,26,120,78,0,74
2011,11,27,109,76,0,93
2011,11,28,103,74,0,99
2011,11,29,128,63,32700,16
2011,11,30,124,74,0,39
2011,12,1,125,82,32,49
2011,12,2,96,84,18,36
2011,12,3,101,85,0,53
2011,12,4,119,84,12,30
2011,12,5,120,89,9,41
2011,12,6,126,82,32700,30
2011,12,7,142,82,0,64
2011,12,8,134,84,0,67
2011,12,9,118,87,1,2
2011,12,10,63,92,32700,0
2011,12,11,46,93,11,0
2011,12,12,76,89,32700,62
2011,12,13,88,87,0,21
2011,12,14,84,83,0,26
2011,12,15,99,78,0,61
2011,12,16,91,86,32700,15
2011,12,17,94,83,0,67
2011,12,18,98,82,0,79
2011,12,19,100,79,0,53
2011,12,20,99,72,0,94
2011,12,21,97,72,0,93
2011,12,22,96,76,0,87
2011,12,23,108,73,0,95
2011,12,24,58,84,32700,0
2011,12,25,76,87,0,0
2011,12,26,85,89,0,0
2011,12,27,102,78,0,54
2011,12,28,102,81,0,0
2011,12,29,120,65,0,93
2011,12,30,98,72,0,94
2011,12,31,102,69,0,93
2012,1,1,109,68,0,95
2012,1,2,135,68,0,73
2012,1,3,145,64,6,91
2012,1,4,99,75,12,22
2012,1,5,98,72,26,82
2012,1,6,88,69,0,81
2012,1,7,96,64,0,88
2012,1,8,97,59,0,91
2012,1,9,103,65,0,91
2012,1,10,105,72,0,64
2012,1,11,102,77,0,62
2012,1,12,107,80,32700,50
2012,1,13,101,84,32700,19
2012,1,14,104,76,1,63
2012,1,15,99,49,0,97
2012,1,16,82,52,0,96
2012,1,17,87,60,0,45
2012,1,18,116,42,0,84
2012,1,19,110,48,0,94
2012,1,20,103,54,0,93
2012,1,21,115,47,0,76
2012,1,22,102,47,0,97
2012,1,23,101,47,0,100
2012,1,24,113,34,0,102
2012,1,25,92,50,0,101
2012,1,26,112,49,0,103
2012,1,27,129,41,0,103
2012,1,28,124,40,0,103
2012,1,29,110,47,0,102
2012,1,30,111,47,0,103
2012,1,31,112,52,0,95
2012,2,1,118,47,0,103
2012,2,2,110,48,0,102
2012,2,3,105,53,0,105
2012,2,4,136,36,0,102
2012,2,5,147,36,0,103
2012,2,6,150,30,0,103
2012,2,7,135,40,0,102
2012,2,8,147,40,0,104
2012,2,9,151,34,0,102
2012,2,10,157,39,0,100
2012,2,11,138,47,0,98
2012,2,12,139,43,0,100
2012,2,13,130,49,0,105
2012,2,14,139,42,0,103
2012,2,15,153,37,0,102
2012,2,16,151,40,0,103
2012,2,17,155,41,0,102
2012,2,18,162,39,0,104
2012,2,19,132,49,0,98
2012,2,20,130,53,0,102
2012,2,21,142,49,0,82
2012,2,22,149,47,0,100
2012,2,23,150,48,0,100
2012,2,24,161,42,0,103
2012,2,25,162,35,0,105
2012,2,26,161,29,0,105
2012,2,27,159,32,0,96
2012,2,28,135,40,0,104
2012,2,29,154,31,0,87
2012,3,1,112,73,73,22
2012,3,2,107,75,12,21
2012,3,3,91,87,149,0
2012,3,4,99,72,32700,64
