0,70,-100,6,8,0.75
0,70,-150,12,13,0.92
0,70,-200,20,22,0.91
0,70,-210,21,24,0.88
0,70,-220,22,25,0.88
0,70,-230,23,27,0.85
0,70,-240,25,29,0.86
0,70,-250,28,33,0.85
0,70,50,1,1,1
0,70,100,6,3,2
0,70,150,14,14,1
0,70,200,24,26,0.92
0,70,210,25,28,0.89
0,70,220,27,31,0.87
0,70,230,28,33,0.85
0,70,240,32,37,0.86
0,70,250,34,42,0.81
0,80,-50,2,1,2
0,80,-100,5,4,1.25
0,80,-150,12,8,1.5
0,80,-200,20,18,1.11
0,80,-210,22,20,1.1
0,80,-220,24,24,1
0,80,-230,26,26,1
0,80,-240,29,31,0.94
0,80,-250,32,34,0.94
0,80,50,1,2,0.5
0,80,100,4,4,1
0,80,150,10,10,1
0,80,200,18,21,0.86
0,80,210,20,24,0.83
0,80,220,22,27,0.81
0,80,230,24,31,0.77
0,80,240,27,35,0.77
0,80,250,30,37,0.81
0,90,-50,59,78,0.76
0,90,-100,132,161,0.82
0,90,-150,233,245,0.95
0,90,-200,302,310,0.97
0,90,-210,294,326,0.9
0,90,-220,282,323,0.87
0,90,-230,276,313,0.88
0,90,-240,273,303,0.9
0,90,-250,264,285,0.93
0,90,50,9,15,0.6
0,90,100,24,34,0.71
0,90,150,37,51,0.73
0,90,200,48,63,0.76
0,90,210,75,131,0.57
0,90,220,85,165,0.52
0,90,230,104,212,0.49
0,90,240,123,242,0.51
0,90,250,153,303,0.5
0,90,-50,94,156,0.6
0,90,-100,256,464,0.55
0,90,-150,443,806,0.55
0,90,-200,667,1001,0.67
0,90,-210,674,823,0.82
0,90,-220,686,810,0.85
0,90,-230,659,807,0.82
0,90,-240,625,807,0.77
0,90,-250,568,773,0.73
0,90,50,50,71,0.7
0,90,100,101,138,0.73
0,90,150,163,285,0.57
0,90,200,206,366,0.56
0,90,210,226,399,0.57
0,90,220,250,425,0.59
0,90,230,268,442,0.61
0,90,240,291,465,0.63
0,90,250,311,484,0.64
0,97.4,-50,264,439,0.6
0,97.4,-100,712,1247,0.57
0,97.4,-110,949,1630,0.58
0,97.4,-120,1130,1940,0.58
0,97.4,-130,1270,2150,0.59
0,97.4,-140,1470,2440,0.6
0,97.4,-150,1600,2630,0.61
0,97.4,-160,1780,2890,0.62
0,97.4,-170,1890,3080,0.61
0,97.4,-180,2050,3250,0.63
0,97.4,-190,2200,3370,0.65
0,97.4,-200,2360,3500,0.67
0,97.4,-210,2470,3580,0.69
0,97.4,-220,2570,3600,0.71
0,97.4,-230,2640,2460,1.07
0,97.4,-240,30,37,0.81
0,97.4,50,360,460,0.78
0,97.4,100,700,900,0.78
0,97.4,150,1130,1400,0.81
0,97.4,160,1270,1540,0.82
0,97.4,170,1320,1590,0.83
0,97.4,190,1500,1770,0.85
0,97.4,200,1570,1870,0.84
0,97.4,210,1650,1940,0.85
0,97.4,220,1730,1960,0.88
0,97.4,230,1810,2010,0.9
0,97.4,240,1900,2080,0.91
3,70,-20,460,270,1.7
3,70,-30,650,430,1.51
3,70,-40,910,560,1.63
3,70,-50,1110,670,1.66
3,70,-60,1110,700,1.59
3,70,-70,1500,860,1.74
3,70,-80,1600,880,1.82
3,70,-90,1600,900,1.78
3,70,-100,1470,780,1.88
3,70,-110,1520,880,1.73
3,70,10,159,151,1.05
3,70,20,351,320,1.1
3,70,30,526,457,1.15
3,70,40,716,536,1.34
3,70,50,903,605,1.49
3,70,60,926,625,1.48
3,70,70,1116,680,1.64
3,70,80,1180,710,1.66
3,70,90,1630,890,1.83
3,70,100,1200,830,1.45
3.17,80,-20,16900,6700,2.52
3.17,80,-25,24000,8100,2.96
3.17,80,-30,38400,11000,3.49
3.17,80,-35,186000,35100,5.3
3.17,80,-40,156000,18000,8.67
3.17,80,-45,200000,80200,2.49
3.17,80,10,3140,2810,1.12
3.17,80,20,11700,3400,3.44
3.17,80,30,12100,4700,2.57
3.17,80,35,30100,11900,2.53
4.06,90,-10,73200,24100,3.04
4.06,90,-15,142000,46100,3.08
4.06,90,-20,176000,56000,3.14
4.06,90,-25,200000,73000,2.74
4.06,90,5,6500,10600,0.61
4.06,90,10,38500,20000,1.93
4.06,90,15,90100,29300,3.08
4.06,90,20,148800,37100,4.01
4.06,90,25,189000,54900,3.44
5.65,95.6,-10,64300,5100,12.61
5.65,95.6,-15,84000,8140,10.32
5.65,95.6,-20,94500,9200,10.27
5.65,95.6,-25,124900,11700,10.68
5.65,95.6,-30,150000,14700,10.2
5.65,95.6,-40,140000,19200,7.29
5.65,95.6,5,8100,1600,5.06
5.65,95.6,17,18300,5100,3.59
5.65,95.6,20,42100,5600,7.52
5.65,95.6,25,70100,6900,10.16
5.65,95.6,30,98100,8400,11.68
5.65,95.6,35,30100,9300,3.24
