1.0,111.0,47.0,0.0,103.0
2.0,112.0,52.0,0.0,95.0
2.0,124.0,40.0,0.0,103.0
2.0,110.0,47.0,0.0,102.0
0.0,112.0,49.0,0.0,103.0
3.0,129.0,41.0,0.0,103.0
0.0,113.0,34.0,0.0,102.0
2.0,92.0,50.0,0.0,101.0
0.0,102.0,47.0,0.0,97.0
1.0,101.0,47.0,0.0,100.0
3.0,103.0,54.0,0.0,93.0
1.0,115.0,47.0,0.0,76.0
2.0,116.0,42.0,0.0,84.0
2.0,110.0,48.0,0.0,94.0
10.0,82.0,52.0,0.0,96.0
9.0,87.0,60.0,0.0,45.0
4.0,104.0,76.0,1.0,63.0
8.0,99.0,49.0,0.0,97.0
6.0,107.0,80.0,32700.0,50.0
9.0,101.0,84.0,32700.0,19.0
10.0,105.0,72.0,0.0,64.0
6.0,102.0,77.0,0.0,62.0
1.0,97.0,59.0,0.0,91.0
1.0,103.0,65.0,0.0,91.0
2.0,88.0,69.0,0.0,81.0
2.0,96.0,64.0,0.0,88.0
11.0,99.0,75.0,12.0,22.0
7.0,98.0,72.0,26.0,82.0
10.0,135.0,68.0,0.0,73.0
2.0,145.0,64.0,6.0,91.0
4.0,109.0,68.0,0.0,95.0
2.0,135.0,40.0,0.0,104.0
2.0,154.0,31.0,0.0,87.0
3.0,161.0,29.0,0.0,105.0
0.0,159.0,32.0,0.0,96.0
3.0,161.0,42.0,0.0,103.0
0.0,162.0,35.0,0.0,105.0
3.0,149.0,47.0,0.0,100.0
4.0,150.0,48.0,0.0,100.0
6.0,130.0,53.0,0.0,102.0
1.0,142.0,49.0,0.0,82.0
1.0,162.0,39.0,0.0,104.0
3.0,132.0,49.0,0.0,98.0
10.0,151.0,40.0,0.0,103.0
1.0,155.0,41.0,0.0,102.0
4.0,139.0,42.0,0.0,103.0
8.0,153.0,37.0,0.0,102.0
7.0,139.0,43.0,0.0,100.0
2.0,130.0,49.0,0.0,105.0
10.0,157.0,39.0,0.0,100.0
4.0,138.0,47.0,0.0,98.0
2.0,147.0,40.0,0.0,104.0
4.0,151.0,34.0,0.0,102.0
6.0,150.0,30.0,0.0,103.0
5.0,135.0,40.0,0.0,102.0
1.0,136.0,36.0,0.0,102.0
2.0,147.0,36.0,0.0,103.0
7.0,110.0,48.0,0.0,102.0
2.0,105.0,53.0,0.0,105.0
5.0,118.0,47.0,0.0,103.0
10.0,199.0,30.0,0.0,89.0
4.0,139.0,51.0,0.0,31.0
2.0,193.0,54.0,32700.0,98.0
1.0,201.0,39.0,0.0,94.0
3.0,168.0,66.0,0.0,63.0
2.0,174.0,64.0,0.0,71.0
0.0,129.0,50.0,0.0,69.0
3.0,158.0,64.0,32700.0,73.0
5.0,182.0,52.0,0.0,38.0
2.0,179.0,47.0,0.0,87.0
2.0,170.0,41.0,0.0,104.0
2.0,190.0,39.0,0.0,84.0
2.0,148.0,40.0,0.0,106.0
3.0,159.0,35.0,0.0,100.0
9.0,170.0,39.0,0.0,88.0
6.0,155.0,42.0,0.0,98.0
4.0,174.0,40.0,0.0,72.0
4.0,178.0,36.0,0.0,101.0
0.0,170.0,36.0,0.0,107.0
2.0,172.0,34.0,0.0,107.0
6.0,164.0,38.0,0.0,106.0
3.0,169.0,37.0,0.0,104.0
6.0,159.0,43.0,0.0,53.0
1.0,179.0,33.0,0.0,104.0
2.0,122.0,62.0,0.0,54.0
1.0,137.0,59.0,0.0,45.0
10.0,99.0,72.0,32700.0,64.0
8.0,122.0,51.0,0.0,104.0
8.0,107.0,75.0,12.0,21.0
2.0,91.0,87.0,149.0,0.0
4.0,112.0,73.0,73.0,22.0
7.0,197.0,47.0,0.0,104.0
5.0,200.0,47.0,0.0,62.0
5.0,205.0,49.0,0.0,80.0
9.0,178.0,52.0,32700.0,55.0
1.0,199.0,47.0,0.0,89.0
